votes,unemployment,med_hhinc,per_capita_inc,poverty_all_ages_pct,deep_pov_all,deep_pov_children,population,area,white,black,native_american,hawaiian_pacific,multi,voter_turnout,democrat,county,state,education,religion,age_old,age_young,age_adult,ethnic_female,ethnic_male
52250,8.0,44342.0,19861.0,20.5,8.378177616,12.61617451,243231.0,4311.28,0.87737813,0.015054455,0.061877587,0.002475586,0.014021621,0.209982719,0,Yakima County,WA,71.8,52,0.195736045,0.403351685,0.36284210100000003,0.43870514,0.43867299
6115,8.8,32867.0,18794.0,26.8,12.23509021,25.04201681,13228.0,423.85,0.479289463,0.486798547,0.01138474,8.07e-05,0.010092854,0.49374243,1,Washington County,NC,79.4,146,0.3138473969999999,0.300282599,0.321114251,0.265078724,0.232216391
7471,5.4,67801.0,32906.0,9.5,3.668560884,5.001658925,97581.0,7443.69,0.757509718,0.129664614,0.011953529,0.00229854,0.012373888,0.074986701,0,Fairbanks North Star Borough,AK,94.3,68,0.221781173,0.319733914,0.390365411,0.382213676,0.375296042
17989,2.4,60205.0,25343.0,7.5,3.381141096,3.738214088,33704.0,768.99,0.9637061,0.011563672,0.005123508,0.000400721,0.004121705,0.514898245,0,Sioux County,IA,89.2,276,0.22514812299999998,0.410367233,0.32747517,0.478804706,0.484901394
3876,5.0,51733.0,26708.0,12.1,4.781404312,6.796601699,8490.0,191.95,0.941183202,0.012129534,0.0131594,0.000457718,0.010069802,0.443529008,0,Somervell County,TX,81.9,115,0.261929282,0.305526949,0.361025288,0.478544456,0.462638746
3599,12.9,25562.0,12938.0,40.3,14.46689113,21.47568013,9375.0,431.23,0.232437421,0.748644596,0.002191718,0.000922828,0.005075557,0.415157458,1,Humphreys County,MS,63.5,120,0.231399239,0.378475024,0.35621178800000003,0.401661091,0.346983504
2055215,6.1,55058.0,30468.0,17.1,7.830171134,11.22788018,5194675.0,1634.86,0.656710033,0.242327731,0.007573189,0.000746246,0.009083054,0.392350182,1,Cook County,IL,85.4,60,0.209663937,0.318146865,0.428730698,0.330835918,0.325874114
7471,8.3,52595.0,33475.0,14.8,2.362204724,3.496503497,662.0,9462.87,0.757509718,0.129664614,0.011953529,0.00229854,0.012373888,12.18760196,0,Yakutat City and Borough,AK,94.5,86,0.221781173,0.319733914,0.390365411,0.382213676,0.375296042
6940,7.0,38595.0,22451.0,20.1,4.634303512,3.185023098,18723.0,328.99,0.956261078,0.021582734,0.003388593,0.000104264,0.007767699,0.361797519,0,DeKalb County,TN,77.9,128,0.255969138,0.29736211,0.38202481499999996,0.482535711,0.473725368
7410,5.7,43659.0,21354.0,15.0,6.443888682,8.425967096,19166.0,325.37,0.955532521,0.022285566,0.004819902,0.000155481,0.007152112,0.384037315,0,Smith County,TN,81.80000000000001,122,0.237315368,0.308991967,0.38916817800000003,0.479657942,0.475874579
31663,5.5,37915.0,20164.0,18.9,7.818759497,11.57583959,73673.0,536.3,0.932832025,0.041612251,0.005897475,0.001072268,0.006007451,0.435272122,0,Surry County,NC,76.8,87,0.27077519400000005,0.294255118,0.36788419399999994,0.477255543,0.455576482
14757,5.0,60622.0,32883.0,8.9,4.948520545,6.251621271,21708.0,2532.19,0.934534371,0.004731359,0.037259451,0.000272963,0.007460989,0.671352532,0,Leelanau County,MI,95.1,116,0.38610618199999996,0.229652882,0.288703882,0.473226878,0.461307493
6405,10.1,32103.0,17954.0,21.3,7.013752456,8.593012276,15903.0,333.66,0.98451869,0.005358915,0.002050943,0.000132319,0.003109494,0.42375124,0,Dickenson County,VA,75.1,39,0.27806814399999996,0.27317234700000004,0.377968906,0.489447569,0.495071121
7471,15.0,51687.0,30811.0,19.1,6.046291923,11.73333333,2150.0,10914.15,0.757509718,0.129664614,0.011953529,0.00229854,0.012373888,3.502578528,0,Hoonah-Angoon Census Area,AK,90.30000000000001,101,0.221781173,0.319733914,0.390365411,0.382213676,0.375296042
12912,7.0,37707.0,20125.0,20.2,8.594198494,13.44283208,30776.0,743.57,0.936919915,0.043390347,0.003745691,0.000629806,0.006563246,0.428003182,0,Marion County,AL,78.1,123,0.275026519,0.280429594,0.37407186299999995,0.476067356,0.460852559
3572,10.0,26309.0,12661.0,35.3,12.8,21.89430336,9429.0,478.68,0.259501813,0.719564963,0.003976143,0.000116945,0.003859198,0.417728921,1,Hancock County,GA,72.60000000000001,88,0.296807391,0.24991229099999998,0.385568939,0.333762133,0.38580283
12710,5.6,51550.0,25296.0,20.5,6.699573894,10.48130136,23788.0,203.82,0.591683013,0.387642213,0.00184386,0.000470773,0.006120047,0.498626913,0,West Baton Rouge Parish,LA,84.9,100,0.20929776500000005,0.33593566100000005,0.415849352,0.29705767,0.294625343
10697,7.7,32964.0,18355.0,25.5,14.92602421,17.4807628,29393.0,4735.66,0.91282583,0.020631459,0.031358387,0.00200236,0.009368184,0.382486502,1,San Miguel County,NM,81.6,25,0.27839954200000006,0.301283656,0.352951693,0.462402117,0.450423714
10699,7.9,40550.0,20256.0,21.7,9.627834929,12.55469539,27695.0,151.3,0.527582335,0.437537425,0.00508982,0.000748503,0.007859281,0.400411677,0,Peach County,GA,85.1,140,0.220845809,0.360254491,0.366279941,0.263547904,0.264034431
40734,5.7,40621.0,23514.0,18.7,9.900697232,16.681313,96024.0,734.62,0.872685924,0.087356062,0.007357708,0.000679173,0.011700299,0.419173261,0,Garland County,AR,88.2,149,0.29499778699999996,0.282988774,0.351451475,0.452689422,0.419996501
